match_index,Pinnacle_Odds,correct_prediction,confidence,Confidence_Player1_Wins,Confidence_Player2_Wins,date,Player1,Player2
2696,2.31,0,1.0050772762298585,0.25089384615421295,0.6204180717468262,2019-01-01,Ramanathan R.,Granollers M.
2780,1.68,1,1.0016641473770143,0.5962286591529846,0.35087169458468753,2019-01-06,Klizan M.,Popyrin A.
2697,2.71,0,0.9996035503149032,0.17602966949343682,0.6800024151802063,2019-01-01,Kudla D.,Fritz T.
2700,1.25,1,0.9971617460250854,0.7977293968200684,0.16406081169843673,2019-01-01,Djere L.,Kadhe A.
2806,1.21,1,0.9950868467092514,0.822385823726654,0.2004716470837593,2019-01-09,Struff J.L.,Statham R.
2642,1.43,1,0.9932725037634371,0.6945961564779282,0.36068880930542946,2018-12-29,Hoang A.,Martin A.
2648,1.01,1,0.9920739318132401,0.9822514176368713,0.016380140092223883,2018-12-29,Trungelliti M.,Shanan Zayed M.
2706,3.35,0,0.9916906772851946,0.31910634189844134,0.7456320881843567,2019-01-01,Berankis R.,Goffin D.
2816,1.18,1,0.987795645713806,0.837114953994751,0.11244281604886056,2019-01-09,de Minaur A.,Opelka R.
2761,1.63,1,0.9873196578621866,0.6057175815105438,0.4261250376701355,2019-01-05,Daniel T.,Rosol L.
2710,1.03,1,0.9858441118001938,0.9571302056312561,0.05130108259618282,2019-01-01,Djokovic N.,Dzumhur D.
2764,1.27,1,0.9857760999202728,0.7762016534805298,0.1382410280406475,2019-01-05,Anderson K.,Karlovic I.
2739,1.27,1,0.9830589238405227,0.7740621447563172,0.29518326222896574,2019-01-03,Tsonga J.W.,Daniel T.
2767,1.61,1,0.9820254953950645,0.6099537238478661,0.21310999244451523,2019-01-05,Bautista Agut R.,Berdych T.
2831,2.93,0,0.9774027467370032,0.19978730082511903,0.6834984242916107,2019-01-11,Sandgren T.,Kohlschreiber P.
2650,1.2,1,0.9773766088485717,0.8144805073738098,0.34886335730552676,2018-12-29,Garin C.,O'Connell C.
2681,1.5,1,0.9746009707450867,0.6497339804967245,0.2731485888361931,2018-12-31,Rublev A.,Seppi A.
2782,1.49,1,0.9738892686963082,0.6536169588565827,0.26642600148916246,2019-01-06,Garcia-Lopez G.,Bolt A.
2733,1.03,1,0.9678991729021073,0.9397079348564148,0.0746882677078247,2019-01-02,Djokovic N.,Fucsovics M.
